branch_id,latitude,longitude,districtName,branchName,GTV2024,AOV2024,Bill2024,total_revenue,total_qty,transaction_count,performance_score,Category,dist_to_sudirman_cbd,dist_to_blok_m,dist_to_pondok_indah,dist_to_kemang,dist_to_senayan,dist_to_nearest_landmark,competitors_0.5km,same_category_competitors_0.5km,competitor_revenue_0.5km,competition_intensity_0.5km,competitors_1.0km,same_category_competitors_1.0km,competitor_revenue_1.0km,competition_intensity_1.0km,competitors_2.0km,same_category_competitors_2.0km,competitor_revenue_2.0km,competition_intensity_2.0km
3879,-6.28350137,106.78956625,Cilandak,AGPG TEROGONG,84317000.0,39035.64814815,2160.0,356727000.0,35987.0,10731,0.03250883391451035,Alcoholic Beverages,6.525992315435329,4.520607086515601,3.3133962899180416,0.6521075476589825,6.385660210303196,0.6521075476589825,0,0,0.0,0.0,1,0,84317000.0,42158500.0,16,4,1349072000.0,79357176.47058824
4060,-6.2964169,106.789124,Cilandak,Ayam Gepuk Pak Gembus - Lebak bulus 1,84317000.0,39035.64814815,2160.0,324128700.0,33985.0,7035,0.02726535095263614,Alcoholic Beverages,7.95494306928291,5.935727458208178,4.3066477612519956,2.0739469714638017,7.806900929871353,2.0739469714638017,2,1,168634000.0,56211333.333333336,6,1,505902000.0,72271714.28571428,15,3,1264755000.0,79047187.5
4248,-6.279324,106.845087,Pasar Minggu,PASAR MINGGU,30594000.0,63870.56367432,479.0,483254281.0,30293.0,6548,0.024800782236605184,Thai Appetizers and Salads,8.388157952111031,6.5982322225084005,8.904953531147395,6.007236555466574,7.818989425442371,6.007236555466574,0,0,0.0,0.0,2,0,61188000.0,20396000.0,4,1,122376000.0,24475200.0
4251,-6.214268,106.825973,Setia Budi,JAKARTA SETIABUDI,3051474531.0,87880.49796965,34723.0,726560820.0,49186.0,13062,0.4423881230373276,Thai Appetizers and Salads,3.8616840772813883,4.507689206658103,8.715989103313996,8.024986071293206,3.3520034610209795,3.3520034610209795,1,0,3051474531.0,1525737265.5,9,3,27463270779.0,2746327077.9,36,5,96821760320.89,2616804332.997027
4255,-6.242325,106.851428,Tebet,TEBET,165329450.0,62083.90912505,2663.0,2184226464.0,155878.0,18652,0.07016941954553241,Thai Appetizers and Salads,6.796560123764514,5.9711111556259056,9.800759438076227,7.766411460805232,6.145509171009421,5.9711111556259056,4,0,661317800.0,132263560.0,6,1,991976700.0,141710957.14285713,9,2,1704101600.0,170410160.0
4256,-6.26396,106.796796,Kebayoran Baru,FATMAWATI,631796986.63,405517.96317715,1558.0,6450791480.0,460852.0,54838,0.29124534959375686,Thai Appetizers and Salads,4.380445803545496,2.275174864203331,3.4258095129131783,1.6610953621715956,4.1553861866869735,1.6610953621715956,2,0,168634000.0,56211333.333333336,2,0,168634000.0,56211333.333333336,28,0,7064436893.040001,243601272.17379314
4258,-6.302599,106.794465,Cilandak,PONDOK LABU,84317000.0,39035.64814815,2160.0,5623486134.0,394527.0,50386,0.11646927400862554,Thai Appetizers and Salads,8.631515544414226,6.555407001359461,5.208398654057943,2.7784619694123296,8.435632351171893,2.7784619694123296,2,0,168634000.0,56211333.333333336,5,0,421585000.0,70264166.66666667,10,0,843170000.0,76651818.18181819
4259,-6.245658,106.815757,Mampang Prapatan,BANGKA RAYA,120286000.0,23158.64458991,5194.0,889445016.0,61708.0,12346,0.045326543260286546,Thai Appetizers and Salads,3.462419361645216,2.0378252815607554,5.929053494521029,4.49453438861731,2.8802891574845915,2.0378252815607554,0,0,0.0,0.0,4,1,2527187946.52,505437589.304,33,4,18527501834.709995,544926524.5502939
4282,-6.224968,106.859233,Tebet,BUKIT DURI,165329450.0,62083.90912505,2663.0,176594356.0,13026.0,2620,0.03691067896159486,Thai Appetizers and Salads,7.37073314682443,7.131226459172638,11.249646263864536,9.55873630838061,6.753888948339922,6.753888948339922,0,0,0.0,0.0,1,1,165329450.0,82664725.0,20,4,6192734081.0,294892099.0952381
4289,-6.242949,106.832357,Mampang Prapatan,TEGAL PARANG,120286000.0,23158.64458991,5194.0,322477644.0,24024.0,6718,0.03442753553475891,Thai Appetizers and Salads,4.843366892866545,3.8597811144372423,7.758736670738599,5.993995236786821,4.1970507022375605,3.8597811144372423,0,0,0.0,0.0,0,0,0.0,0.0,12,3,8770184835.26,674629602.7123077
